ID,Screen name,Foto Profil,Following,Following kurang 30,Followers,Followers lebih 1000,Tweet,Tweet kurang 50,Lokasi,URL,Deskripsi,Follower Ratio 2:1,Follower Ratio 50:1,Follower Ratio 100:1,Pola Aktivitas Akun,Usia Akun (bulan),Usia Akun kurang sama dengan 12,Rataan Tweet per Minggu,Retweet Ratio %,Retweet Ratio lebih sama dengan 60,Kategori
"1,22E+23",0,1,441,0,6,0,24,1,1,0,0,0,1,1,1,0,1,0,47,0,1
"1,22E+23",0,0,151,0,6,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1
"1,22E+23",0,1,92,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
"1,13E+23",1,0,10,1,4,0,2,1,1,0,0,1,0,0,0,0,1,0,50,0,1
"1,22E+23",1,0,23,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",1,1,56,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",1,0,304,0,5,0,12,1,0,0,1,0,1,1,1,0,1,0,0,0,1
"1,22E+23",0,0,16,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",1,0,57,0,3,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",0,0,89,0,10,0,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"1,22E+23",1,1,315,0,55,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",0,1,80,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,1
"1,22E+23",0,0,107,0,3,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
"1,22E+23",1,0,64,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
"1,22E+22",1,0,17,1,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",0,0,52,0,4,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"1,22E+23",0,0,122,0,1,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,1
"1,22E+23",1,1,101,0,2,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1
"1,22E+23",0,0,391,0,7,0,4,1,1,0,1,0,1,1,0,0,1,0,0,0,1
"1,22E+22",1,1,45,0,2,0,8,1,1,0,1,0,0,0,0,0,1,0,0,0,1
"1,22E+22",0,0,121,0,5,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"1,22E+23",0,0,57,0,2,0,3,1,1,0,0,0,1,0,0,0,1,0,67,1,1
"1,22E+23",0,0,130,0,1,0,9,1,1,0,0,0,0,1,0,0,1,0,11,0,1
"1,18E+23",0,0,0,1,0,0,5,1,1,0,0,0,0,0,0,0,1,0,40,0,1
"1,22E+23",1,1,22,1,4,0,17,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",0,0,8,1,0,0,4,1,1,0,1,0,0,0,1,0,1,0,0,0,1
"1,22E+23",1,0,53,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+22",1,0,17,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",1,1,218,0,5,0,363,0,0,0,0,0,1,0,1,0,1,3,98,1,1
"1,22E+23",0,1,84,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1
"1,22E+23",0,1,6,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",0,1,46,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
"1,22E+22",1,1,98,0,2,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1
"1,22E+23",0,0,82,0,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,1
"1,22E+23",1,1,87,0,2,0,4,1,1,0,0,0,1,0,0,0,1,0,0,0,1
"1,22E+22",0,0,10,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",0,1,22,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",1,0,16,1,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1
"1,22E+23",0,0,142,0,15,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0
283034225,0,0,16,1,6,0,4,1,0,0,0,1,0,0,0,0,1,0,50,0,0
"1,22E+23",1,0,48,0,6,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"1,22E+23",0,0,80,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,75,1,0
"1,22E+23",1,0,123,0,1,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,1
"1,32E+23",1,1,93,0,99,0,154,0,1,0,0,0,0,0,0,0,1,43,28,0,0
"1,31E+22",1,1,23,1,22,0,31,1,0,0,0,1,0,0,1,0,1,4,97,1,1
"9,05E+22",0,0,32,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,0,0,0
"1,25E+23",0,0,0,1,47,0,3,1,1,0,1,0,0,0,0,0,1,0.73,80,1,1
"1,22E+23",0,1,276,0,2710,0,53189,0,1,0,1,0,0,0,0,0,1,170,82,1,1
"1,22E+22",0,1,1365,0,401,1,39643,0,1,0,1,0,0,0,0,0,1,4.9,84,1,1
"1,22E+23",0,0,787,0,399,0,23200,0,0,1,1,0,0,0,1,0,1,10,84,1,1
"1,22E+23",0,0,2129,0,393,0,22293,0,0,1,0,1,0,0,1,0,1,13,84,1,1
"1,22E+23",0,0,1679,0,1303,0,20732,0,1,0,1,0,0,0,1,0,1,39,86,1,1
"1,22E+23",0,1,440,0,612,1,19484,0,0,0,1,0,0,0,1,0,1,0.91,88,1,1
"1,22E+23",0,1,1147,0,702,0,18490,0,1,1,1,0,0,0,0,0,1,12,88,1,1
"1,22E+23",0,0,253,0,926,0,16555,0,0,1,1,0,0,0,1,0,1,11,88,1,1
1222035768014589952,0,0,2119,0,2081,0,15792,0,1,0,1,1,0,0,1,0,1,43,89,1,1
"1,22E+23",0,0,3228,0,2850,0,14300,0,1,0,1,0,0,0,0,0,1,52,89,1,1
"1,22E+23",1,0,0,0,244,0,12000,0,0,0,1,0,0,0,1,0,1,17,90,1,1
"1,22E+22",0,0,210,0,210,0,10300,0,0,0,1,0,0,0,0,0,1,2.4,91,1,1
"1,22E+23",0,0,61,0,165,1,2590,0,0,0,1,0,0,0,1,0,1,4,92,1,1
"1,22E+22",0,0,740,0,578,1,1263,0,0,1,1,0,0,0,1,0,1,1.9,93,1,1
"1,22E+23",0,0,471,0,374,0,1016,0,1,0,0,1,0,0,1,0,1,58,93,1,1
"1,22E+23",0,0,681,0,1601,0,462,0,0,0,1,1,0,0,1,0,1,18,93,1,1
"1,22E+22",0,0,50,0,7,0,233,0,0,1,1,0,0,0,0,0,1,5.8,94,1,1
"1,22E+23",0,1,161,0,8,0,194,0,1,0,1,0,0,0,1,0,1,20,95,1,1
"1,22E+23",0,1,382,0,6115,0,110300,0,0,0,1,0,0,0,0,0,1,4.2,96,1,1
"1,22E+23",0,1,1025,0,428,0,35430,0,1,0,1,0,0,0,0,0,1,4.1,97,1,1
"1,22E+23",0,0,1535,0,1460,0,7810,0,0,0,1,0,0,0,0,0,1,2.6,98,1,1
"1,22E+23",0,1,487,0,281,0,5021,0,0,0,0,1,0,0,1,0,1,22,98,1,1
"1,22E+23",1,1,298,0,124,1,4426,0,1,0,1,1,0,0,0,0,1,8.2,99,1,1
"1,22E+22",0,1,9554,0,11900,0,46975,0,0,0,1,1,0,0,0,0,1,31,99,1,1
"1,22E+23",0,1,120,0,84,0,4167,0,1,0,1,1,0,0,0,0,1,0,99,1,1
"1,22E+23",0,1,401,0,202,1,2388,0,0,1,1,0,0,0,0,0,1,63,100,1,1
"1,22E+23",0,0,439,0,389,0,2048,0,0,0,1,1,0,0,0,0,1,21,100,1,1
"1,22E+23",0,0,546,0,1020,1,23639,0,0,0,0,0,0,0,0,0,1,1500,100,1,1
"1,22E+23",0,1,168,0,260,0,8529,0,1,0,1,1,0,0,0,0,1,1.1,100,1,1
"1,22E+23",0,0,1475,0,1204,0,3802,0,0,0,1,1,0,0,0,0,1,0.83,100,1,1
4787472792,0,1,795,0,123,0,5033,0,1,1,1,1,0,0,0,0,1,0.15,100,1,1
"1,22E+23",0,1,1463,0,1352,0,6534,0,1,0,1,0,0,0,0,0,1,2.6,100,1,1
"1,22E+23",0,0,278,0,2091,0,2407,0,0,1,1,0,0,0,1,0,1,5100,100,1,1
"1,22E+23",0,0,1408,0,1113,1,8669,0,0,0,0,0,0,0,1,0,1,17,100,1,1
"1,22E+23",0,1,233,0,137,0,6627,0,0,0,1,0,0,0,0,0,1,14,100,1,1
"1,33E+22",1,1,263,0,142,0,1831,0,1,0,0,0,0,0,0,1,1,70,3,0,1
"1,32E+23",1,0,868,0,339,0,26,1,1,0,0,1,0,0,1,1,1,2.1,58,0,1
"1,32E+23",1,1,240,0,12582,1,5635,0,1,1,0,0,0,0,1,1,1,52,0,0,1
"1,33E+22",1,0,2398,0,1055,1,22,1,0,1,0,1,0,0,1,1,1,3.5,7,0,0
"1,33E+23",0,0,561,0,632,0,2026,0,0,0,0,0,0,0,1,1,1,420,35,0,1
"1,34E+23",1,0,495,0,350,0,204,0,1,0,0,0,0,0,0,1,1,70,11,0,0
"1,34E+23",0,1,2290,0,2242,1,6100,0,1,0,0,0,0,0,1,1,1,1100,9,0,0
"1,34E+23",1,1,492,0,558,0,87,0,1,0,0,0,0,0,1,1,1,16,0,0,0
"1,33E+23",1,1,591,0,624,0,315,0,1,0,0,0,0,0,0,1,1,31,10,0,0
"1,33E+23",1,1,711,0,797,0,321,0,1,0,0,0,0,0,0,1,1,53,23,0,0
"1,34E+22",1,1,1046,0,216,0,864,0,1,0,0,0,0,0,1,1,1,340,75,1,1
"1,34E+23",0,1,466,0,191,0,26,1,1,0,0,0,0,0,0,1,1,4.7,60,1,0
"1,34E+23",0,0,1143,0,400,0,54,0,0,0,0,1,0,0,0,1,1,16,5,0,0
"1,34E+23",1,1,1147,0,440,0,340,0,1,0,1,1,0,0,1,1,1,43,76,1,1
"1,34E+23",0,1,676,0,203,0,717,0,1,0,0,0,0,0,0,1,1,140,98,1,1
"1,33E+23",0,0,1014,0,528,0,636,0,0,1,1,0,0,0,0,1,1,45,60,1,1
"1,34E+23",0,1,509,0,382,0,3081,0,1,0,0,0,0,0,1,1,1,620,11,0,0
"1,34E+23",1,0,538,0,311,0,777,0,0,0,0,0,0,0,0,1,1,270,32,0,0
"1,33E+23",1,0,311,0,229,0,35,1,1,0,0,0,0,0,1,1,1,5.2,61,1,1
"1,34E+23",1,1,506,0,670,0,1343,0,1,0,0,0,0,0,0,1,1,150,47,0,0
"1,34E+23",0,1,130,0,73,0,69,0,1,0,0,0,0,0,1,1,1,12,9,0,1
"1,34E+23",0,1,1008,0,890,0,1240,0,1,0,0,0,0,0,1,1,1,59,38,0,0
"1,33E+23",1,1,2812,0,1912,1,6333,0,1,0,0,0,0,0,1,1,1,600,74,1,1
"1,34E+22",1,0,127,0,76,0,16,1,1,0,1,0,0,0,1,1,1,4.6,0,0,1
"1,34E+23",0,0,401,0,397,0,1014,0,1,0,0,0,0,0,1,1,1,200,22,0,0
"1,34E+23",0,1,1117,0,1625,1,1496,0,1,0,0,0,0,0,0,1,1,270,23,0,0
"1,33E+23",1,1,331,0,144,0,9,1,1,0,0,1,0,0,1,1,1,1.8,18,0,1
"1,33E+23",1,0,1345,0,1355,1,3309,0,0,0,0,0,0,0,1,1,1,350,13,0,0
"1,34E+23",0,0,961,0,997,0,245,0,1,0,0,0,0,0,0,1,1,74,26,0,0
"1,33E+23",1,0,851,0,1292,1,331,0,1,0,0,0,0,0,0,1,1,50,0,0,0
"1,34E+22",0,0,1476,0,1506,1,783,0,1,0,0,0,0,0,1,1,1,110,27,0,1
"1,34E+23",1,0,1052,0,1456,1,820,0,1,0,0,0,0,0,0,1,1,250,26,0,0
"1,34E+23",1,1,1056,0,787,0,281,0,1,0,0,0,0,0,0,1,1,71,54,0,0
"1,33E+23",1,1,930,0,459,0,2610,0,1,0,0,1,0,0,1,1,1,340,100,1,1
"1,34E+23",1,0,1962,0,2081,1,946,0,1,0,0,0,0,0,0,1,1,100,16,0,0
"1,34E+23",1,1,426,0,443,0,740,0,0,0,0,0,0,0,0,1,1,71,49,0,0
"1,34E+23",1,0,1429,0,1396,1,537,0,1,0,0,0,0,0,1,1,1,770,29,0,0
"1,34E+23",0,0,1595,0,1660,1,918,0,1,0,0,0,0,0,1,1,1,340,34,0,1
"1,33E+23",1,0,2655,0,452,0,29,1,0,0,0,0,0,0,0,1,1,3.9,0,0,0
"1,33E+23",1,0,650,0,1196,1,179,0,1,0,0,0,0,0,0,1,1,26,40,0,0
"1,34E+23",0,0,1291,0,1459,1,1498,0,1,0,0,0,0,0,0,1,1,250,2,0,0
"1,34E+22",0,1,714,0,2210,1,953,0,1,0,0,0,0,0,0,1,1,130,5,0,0
"1,34E+23",1,1,655,0,650,0,1066,0,1,1,0,0,0,0,1,1,1,62,46,1,1
"1,34E+23",1,0,576,0,1115,1,3888,0,1,0,0,0,0,0,1,1,1,190,95,1,1
"1,33E+23",1,1,6,1,3,0,7,1,1,0,1,1,0,0,1,1,1,220,100,1,1
"1,34E+23",1,0,106,0,88,0,173,0,0,1,0,0,0,0,0,1,1,30,70,1,1
"1,34E+23",1,0,25,1,13,0,204,0,0,0,0,0,0,0,1,1,1,34,64,1,1
"1,34E+23",1,1,53,0,13,0,123,0,1,0,0,0,0,0,1,1,1,20,75,1,1
"1,22E+23",0,1,151,0,2,0,13,1,1,0,1,0,0,1,0,1,1,0,54,0,1
"1,22E+23",0,0,108,0,0,0,17,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"1,22E+23",0,0,510,0,23,0,8,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"1,22E+23",0,1,103,0,2,0,2,1,1,0,1,0,1,1,0,1,1,0,0,0,1
"1,22E+23",0,0,85,0,0,0,8,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"1,22E+23",0,1,66,0,2,0,5,1,1,0,0,0,1,0,0,1,1,0,60,0,1
"1,22E+23",0,1,2949,0,107,0,6,1,1,0,1,0,1,0,0,1,1,0,0,0,1
"1,22E+21",1,0,9,1,4,0,3,1,1,0,0,1,0,0,0,1,1,0,50,0,1
"1,22E+23",0,0,363,0,22,0,21,1,1,0,1,0,0,0,0,1,1,0,0,0,1
"1,22E+23",0,0,85,0,2,0,5,1,1,0,0,0,1,0,0,1,1,0,0,0,1
"1,21E+23",1,1,166,0,44,0,637,0,1,0,1,0,0,0,1,1,1,4,77,1,1
"1,21E+23",1,0,207,0,4,0,73,0,1,0,0,0,1,1,1,1,1,2,0,0,1
"1,21E+23",1,0,2313,0,35,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1
"1,22E+23",0,0,18,1,1,0,5,1,1,0,0,0,0,0,0,1,1,0,20,0,0
"1,22E+23",1,0,61,0,3,0,18,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"1,22E+23",1,1,181,0,7,0,12,1,1,0,1,0,1,0,1,1,1,0,57,0,1
"1,31E+22",1,0,178,0,39,0,413,0,0,0,0,0,0,0,0,1,1,44,89,1,0
"1,31E+23",1,1,283,0,176,0,1913,0,1,0,0,1,0,0,0,1,1,53,85,1,1
"1,32E+23",0,0,360,0,156,0,16315,0,0,1,0,1,0,0,1,1,1,1100,89,1,1
"1,32E+23",1,0,43,0,9,0,322,0,1,0,0,0,0,0,0,1,1,120,72,1,1
"1,32E+23",1,1,20,1,1,0,158,0,0,1,0,0,0,0,0,1,1,29,0,0,1
"1,31E+23",0,1,4,1,13,0,1166,0,1,0,0,0,0,0,1,1,1,340,95,1,1
"1,32E+23",0,0,43,0,29,0,68,0,1,1,0,1,0,0,1,1,1,11,49,0,1
1321429727584817155,0,0,70,0,27,0,459,0,0,0,1,1,0,0,0,1,1,320,75,1,1
"1,26E+23",0,0,232,0,114,0,989,0,0,0,1,1,0,0,0,1,1,0.36,75,1,1
"1,18E+23",0,1,1013,0,933,1,4396,0,1,1,1,1,0,0,0,1,1,78,75,1,1
1304232616007147520,1,0,275,0,178,0,91,0,1,0,1,1,0,0,0,1,1,21,76,1,1
"1,29E+23",1,1,529,0,694,0,107,0,1,0,1,0,0,0,0,1,1,0.4,76,1,1
"1,22E+23",1,1,1591,0,1227,0,10100,0,0,0,1,0,0,0,0,1,1,200,76,1,1
"1,21E+23",1,1,78,0,30,0,871,0,0,0,1,0,0,0,0,1,1,820,77,1,1
"1,22E+23",0,0,248,0,570,0,16463,0,0,0,1,1,0,0,0,1,1,360,77,1,1
"1,22E+23",0,1,149,0,72,0,4018,0,1,0,1,1,0,0,0,1,1,24,78,1,1
1638661861,0,0,1763,0,1497,0,11800,0,0,0,1,0,0,0,0,1,1,90,79,1,1
"1,22E+23",0,0,1101,0,926,0,26800,0,0,0,1,0,0,0,0,1,1,36,79,1,1
"1,29E+23",0,0,890,0,93,0,4024,0,1,1,1,1,0,0,0,1,1,560,79,1,1
"1,22E+23",0,0,795,0,123,0,5033,0,0,0,1,1,0,0,0,1,1,0.18,80,1,1
"1,21E+23",0,1,80,0,1034,0,1751,0,0,1,1,0,0,0,0,1,1,3.4,80,1,1
"1,32E+23",1,1,27,1,9,0,590,0,1,0,0,0,0,0,1,2,1,37,55,0,1
"1,32E+23",1,0,6,1,0,0,25,1,1,0,0,0,0,0,1,2,1,2.1,0,0,1
"1,32E+23",1,1,859,0,488,0,127,0,1,0,0,0,0,0,1,2,1,13,44,0,1
"1,32E+23",0,0,2420,0,2456,1,667,0,0,0,0,0,0,0,0,2,1,54,20,0,0
"1,32E+23",1,1,336,0,231,0,118,0,1,0,0,0,0,0,0,2,1,9.2,17,0,0
"1,33E+23",1,1,281,0,65,0,30,1,1,0,0,0,0,0,0,2,1,3.3,12,0,0
"1,33E+23",1,0,271,0,55,0,460,0,1,0,0,0,0,0,1,2,1,49,19,0,1
"1,32E+23",1,1,8,1,6482,1,6391,0,1,1,0,0,0,0,1,2,1,85,0,0,1
"1,32E+23",1,1,485,0,7773,1,6272,0,1,1,0,0,0,0,1,2,1,83,0,0,1
"1,32E+23",1,1,1,1,1556,1,2640,0,1,0,0,0,0,0,1,2,1,89,0,0,1
"1,33E+23",1,1,425,0,257,0,758,0,1,0,0,0,0,0,1,2,1,130,38,0,1
"1,32E+23",0,0,51,0,36,0,9,1,1,0,0,0,0,0,1,2,1,0.69,78,1,1
"1,32E+23",1,0,624,0,698,0,550,0,1,1,0,0,0,0,1,2,1,27,57,0,1
"1,33E+23",1,1,128,0,99,0,245,0,1,0,1,0,0,0,1,2,1,26,81,1,1
"1,33E+23",1,0,247,0,77,0,58,0,0,0,0,0,0,0,1,2,1,6.3,15,0,0
"1,33E+23",0,0,547,0,799,0,863,0,0,0,0,0,0,0,1,2,1,29,100,1,1
"1,33E+23",0,1,651,0,450,0,1636,0,1,0,0,0,0,0,1,2,1,150,51,0,1
"1,33E+23",0,0,248,0,32,0,77,0,0,0,0,0,0,0,0,2,1,7.2,30,0,0
"1,33E+23",1,1,1185,0,171,0,183,0,1,0,0,0,0,0,0,2,1,23,24,0,0
"1,33E+23",1,0,1595,0,1548,1,1173,0,1,0,0,0,0,0,0,2,1,220,57,0,0
"1,33E+23",0,0,147,0,60,0,850,0,0,0,1,1,0,0,0,2,1,140,60,1,1
"1,33E+23",1,1,807,0,823,0,360,0,1,0,0,0,0,0,0,2,1,97,18,0,0
"1,33E+23",1,1,1612,0,1676,1,1166,0,0,0,0,0,0,0,0,2,1,36,42,0,0
"1,33E+23",0,1,79,0,86,0,860,0,1,0,0,0,0,0,0,2,1,73,1,0,0
"1,32E+23",0,1,631,0,455,0,2727,0,1,0,0,0,0,0,0,2,1,150,8,0,0
"1,32E+23",1,1,580,0,504,0,2751,0,1,1,0,0,0,0,1,2,1,330,23,0,1
"1,33E+23",0,1,973,0,878,0,166,0,1,0,1,0,0,0,0,2,1,16,48,0,0
"1,33E+23",0,0,1667,0,2182,1,2724,0,1,0,1,0,0,0,1,2,1,82,4,0,1
"1,33E+23",0,1,324,0,136,0,8401,0,1,0,0,1,0,0,1,2,1,430,98,1,1
"1,33E+23",0,0,2094,0,2354,1,2009,0,1,0,0,0,0,0,0,2,1,270,16,0,0
"1,33E+23",1,1,95,0,83,0,317,0,0,0,1,0,0,0,1,2,1,40,7,0,0
"1,33E+23",1,1,592,0,545,0,1638,0,1,0,0,0,0,0,1,2,1,800,48,0,0
"1,21E+23",0,0,20,1,4,0,49,1,1,0,0,0,0,0,0,2,1,1,57,0,1
"1,22E+23",0,0,1073,0,46,0,431,0,1,0,0,0,0,0,1,2,1,4,99,1,1
"1,22E+23",1,0,181,0,4,0,42,1,0,0,0,0,1,0,0,2,1,1,55,0,1
"1,22E+23",1,0,82,0,5,0,13,1,1,0,0,0,0,0,0,2,1,0,0,0,1
"1,19E+23",1,1,397,0,7,0,4,1,0,0,1,0,1,1,0,2,1,0,25,0,1
"1,22E+23",1,1,339,0,9,0,9,1,1,0,0,0,1,0,0,2,1,0,0,0,1
"1,22E+23",0,0,79,0,2,0,2,1,1,0,0,0,1,0,0,2,1,0,0,0,1
"1,22E+22",0,0,61,0,24,0,2684,0,1,0,1,1,0,0,1,2,1,6,8,0,1
"1,22E+23",1,1,115,0,1,0,12,1,1,0,0,0,0,1,1,2,1,0,0,0,1
"1,22E+23",0,0,4708,0,344,0,127,0,1,0,1,0,0,0,1,2,1,3,0,0,0
"1,22E+23",0,0,242,0,8,0,11,1,1,0,1,0,1,0,0,2,1,0,0,0,1
"1,22E+23",1,0,14,1,2,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0
"1,21E+23",1,1,390,0,23,0,89,0,0,0,1,0,0,0,1,2,1,2,15,0,1
"1,22E+23",1,0,229,0,23,0,185,0,0,0,0,0,0,0,0,2,1,4,18,0,0
"1,31E+23",0,1,45,0,3,0,182,0,1,0,0,0,0,0,0,2,1,22,63,1,0
"1,30E+23",1,1,105,0,17,0,2492,0,1,0,0,0,0,0,1,2,1,110,99,1,0
"1,29E+23",1,1,8,1,0,0,33,1,1,0,1,0,0,0,0,2,1,4,84,1,1
"1,30E+23",1,1,15,1,3,0,112,0,1,0,1,0,0,0,0,2,1,9,15,0,1
"1,31E+23",1,1,435,0,191,0,7311,0,1,0,1,1,0,0,1,2,1,490,99,1,1
"1,31E+23",1,1,2821,0,2993,1,76300,0,0,1,1,0,0,0,0,2,1,35,69,1,1
1296370004502306816,0,1,119,0,57,0,434,0,1,0,1,1,0,0,0,2,1,11,69,1,1
"1,20E+23",0,1,55,0,290,0,319,0,1,0,1,0,0,0,0,2,1,290,69,1,1
1314382512106266624,0,0,256,0,179,0,202,0,0,0,0,1,0,0,0,2,1,20,69,1,1
1313545554987642880,0,1,4166,0,5738,0,37500,0,0,1,1,1,0,0,0,2,1,17,70,1,1
"1,22E+23",0,1,2169,0,2121,0,9238,0,0,0,1,0,0,0,1,2,1,300,70,1,1
"1,22E+23",0,0,32,0,0,0,75,0,1,0,0,0,0,0,1,2,1,68,70,1,1
"1,20E+23",0,0,238,0,274,0,38344,0,0,0,1,1,0,0,0,2,1,15.3,70,1,1
